rt,responses,trial_type,time_elapsed,stimulus,graphorder,button_pressed,response,key_press,stimulus_left,stimulus_right,accuracy,cumulative_accuracy,stimulus_down_left,stimulus_down_mid,stimulus_down_right,stimulus_correct,stimulus_short,stimulus_far,weighted_accuracy,missedtrial,condition,specific_pairs,linedress,linedressed,problems,smooth,distraction,strategies,easier,similar,comments,partid,age
132418.39999999106,{worker_id:67dcc12657e2fe1375df7f89},id_enter,132428,id_enter,GW/hat.jpg; GW/camera.jpg; GW/soldier.jpg; GW/jukebox.jpg; GW/barrel.jpg; GW/snail.jpg; GW/wheelchair.jpg; GW/basket.jpg; GW/teeth.jpg; GW/paint.jpg; GW/dustpan.jpg; GW/globe.jpg; GW/gong.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,67dcc12657e2fe1375df7f89,young
199738.89999999103,,fullscreen,332185,fullscreen,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,67dcc12657e2fe1375df7f89,young
140040.69999998808,,intro_1,472232,instruct,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,67dcc12657e2fe1375df7f89,young
21067.79999999702,,intro_2,493304,instruct,,1.0,Next,,,,,,,,,,,,,,,,,,,,,,,,,67dcc12657e2fe1375df7f89,young
21868.0,,intro_3,515176,instruct,,1.0,Next,,,,,,,,,,,,,,,,,,,,,,,,,67dcc12657e2fe1375df7f89,young
,,learn_prac_1,517188,lean_prac_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,67dcc12657e2fe1375df7f89,young
,,html-keyboard-response,518204,<p></p>,,,,,,,,,,,,,,,,,,,,,,,,,,,,67dcc12657e2fe1375df7f89,young
98754.90000000596,,intro_1,616961,instruct,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,67dcc12657e2fe1375df7f89,young
155355.29999999702,,intro_2,772320,instruct,,1.0,Next,,,,,,,,,,,,,,,,,,,,,,,,,67dcc12657e2fe1375df7f89,young
,,learn_prac_2,774336,lean_prac_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,67dcc12657e2fe1375df7f89,young
,,html-keyboard-response,775340,<p></p>,,,,,,,,,,,,,,,,,,,,,,,,,,,,67dcc12657e2fe1375df7f89,young
