rt,responses,trial_type,time_elapsed,stimulus,key_press,stimulus_left,stimulus_right,stimulus_down_left,stimulus_down_mid,stimulus_down_right,stimulus_correct,correctness,accuracy,condition,linedress,linedressed,detectfocus
1695.1999998092651,,directmemory_phase,74015,DelawareCity.png,50,,,Medora.png,Custer.png,Newport.png,Custer.png,1,0.75,,,,
1674.1999998092651,,directmemory_phase,77019,Medora.png,49,,,Newport.png,ParkCity.png,Boulder.png,Newport.png,1,0.7777777777777778,,,,
1760.3999996185303,,directmemory_phase,80023,Sitka.png,50,,,Racine.png,WestPalmBeach.png,Custer.png,Racine.png,0,0.7,,,,
null,,thebreak,80125,<p></p>,null,,,,,,,,,,,,
925.4000000953674,,intro_0,81052,instruct,32,,,,,,,,,,,,
383.40000009536743,,intro_1,81437,instruct,32,,,,,,,,,,,,
445.59999990463257,,intro_2,81884,instruct,32,,,,,,,,,,,,
419.7999997138977,,intro_3,82306,instruct,32,,,,,,,,,,,,
1899.0999999046326,,shortestpath_phase,85309,ParkCity.png,49,WestPalmBeach.png,Aliance.png,,,,WestPalmBeach.png,1,1,One Edge Diff,,,
1780.1999998092651,,shortestpath_phase,88313,DelawareCity.png,49,Newport.png,Boulder.png,,,,Boulder.png,0,0.5,Three Edge Diff,,,
860.5999999046326,,shortestpath_phase,91317,Aliance.png,49,Newport.png,Cornwall.png,,,,Cornwall.png,0,0.3333333333333333,Three Edge Diff,,,
114.59999990463257,,shortestpath_phase,94320,Medora.png,50,Yukon.png,WestPalmBeach.png,,,,WestPalmBeach.png,1,0.5,Two Edge Diff,,,
1607.1000003814697,,shortestpath_phase,97325,Aliance.png,49,Sitka.png,Custer.png,,,,Custer.png,0,0.4,Three Edge Diff,,,
2320.7999997138977,,shortestpath_phase,100330,Sitka.png,50,DelawareCity.png,Cornwall.png,,,,Cornwall.png,1,0.5,Two Edge Diff,,,
1843.1999998092651,,shortestpath_phase,103332,Cornwall.png,50,Yukon.png,Sitka.png,,,,Yukon.png,0,0.42857142857142855,One Edge Diff,,,
1231.0999999046326,,shortestpath_phase,106337,DelawareCity.png,49,Boulder.png,ParkCity.png,,,,Boulder.png,1,0.5,Two Edge Diff,,,
1095.1999998092651,,shortestpath_phase,109342,DelawareCity.png,50,Yukon.png,ParkCity.png,,,,Yukon.png,0,0.4444444444444444,Three Edge Diff,,,
1246.0999999046326,,shortestpath_phase,112347,Aliance.png,49,Medora.png,Newport.png,,,,Medora.png,1,0.5,One Edge Diff,,,
null,,thebreak,112450,<p></p>,null,,,,,,,,,,,,
1192.5,,intro_0,113644,instruct,32,,,,,,,,,,,,
374.80000019073486,,intro_1,114020,instruct,32,,,,,,,,,,,,
425,,intro_2,114446,instruct,32,,,,,,,,,,,,
464.90000009536743,,intro_3,114912,instruct,32,,,,,,,,,,,,
,,Goal Directed Planning,124395,,,,,,,,,,,,,undefinedimgLdrag08:[x1:74 x2:443 y1:200 y2:215]drag08drag10:[x1:443 x2:721 y1:215 y2:265]drag10imgR:[x1:721 x2:1074 y1:265 y2:200],
,,Goal Directed Planning,132281,,,,,,,,,,,,,undefinedimgLdrag09:[x1:74 x2:457 y1:200 y2:317]drag09imgR:[x1:456 x2:1074 y1:317 y2:200],
,,Goal Directed Planning,140330,,,,,,,,,,,,,undefinedimgLdrag09:[x1:74 x2:370 y1:200 y2:260.1015625]drag09drag11:[x1:370 x2:737 y1:260.1015625 y2:135]drag11imgR:[x1:737 x2:1074 y1:135 y2:200],
,,Goal Directed Planning,149766,,,,,,,,,,,,,undefinedimgLdrag10:[x1:74 x2:501 y1:200 y2:86.1015625]drag10imgR:[x1:501 x2:1074 y1:86.1015625 y2:200],
2920.800000190735,,thank_you,152689,<p> Congratulations, you are all done!</p><p>The secret code to enter at the beginning screen is: AJFHBG897</p><p> Please make sure to submit the HIT and email mnadkarn@gmail.com if you had any issues! </p>,32,,,,,,,,,,,,1
