"rt","responses","trial_type","time_elapsed","sequence","stimulus","cities","city_images","button_pressed","response","key_press","stimulus_left","stimulus_right","accuracy","cumulative_accuracy","stimulus_down_left","stimulus_down_mid","stimulus_down_right","stimulus_correct","stimulus_short","stimulus_far","weighted_accuracy","missedtrial","condition","specific_pairs","imgL_ID","imgR_ID","linedress","linedressed","linedressed_detor","detour_trial","testedstates","currentstate","otherstate","problems","smooth","distraction","strategies","easier","similar","comments"
"69327","{""worker_id"":""3026""}","id_enter","69328","blocked","intro","West Palm Beach; New Hope; Boulder; Peoria; Gatlinburg; Shreveport; Hot Springs; Carmel; Huntsville; Racine; Leesburg; Cornwall; Hanover","US_Cities_List/westpalmbeach.png; US_Cities_List/newhope.png; US_Cities_List/boulder.png; US_Cities_List/peoria.png; US_Cities_List/gatlinburg.png; US_Cities_List/shreveport.png; US_Cities_List/hotsprings.png; US_Cities_List/carmel.png; US_Cities_List/huntsville.png; US_Cities_List/racine.png; US_Cities_List/leesburg.png; US_Cities_List/cornwall.png; US_Cities_List/hanover.png","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4593.60000000149","","fullscreen","73925","","make_fullscreen","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"20196.39999999851","","intro_1","94124","","instruct","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"18717.400000000373","","intro_2","112845","","instruct","","","1","Next","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"13949.5","","intro_3","126796","","instruct","","","1","Next","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"54645.5","","intro_4","181445","","instruct","","","1","Next","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9460.900000000373","","intro_5","190908","","instruct","","","1","Next","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"16406.099999999627","","intro_6","207317","","instruct","","","1","Next","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7894.299999998882","","intro_7","215213","","instruct","","","1","Next","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","learn_prac_1","218218","","lean_prac_1","","","","","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","219221","","<p></p>","","","","","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4670.300000000745","","intro_1","223893","","instruct","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5677.700000001118","","intro_2","229573","","instruct","","","1","Next","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","learn_prac_2","232577","","lean_prac_2","","","","","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","233581","","<p></p>","","","","","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2654.7999999988824","","intro_1","236237","","instruct","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5438","","intro_2","241677","","instruct","","","1","Next","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"41957.90000000037","","intro_3","283638","","instruct","","","1","Next","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","prac_atten_color_black","284148","","black_plus_sign","","","","","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"604.2999999988824","","prac_atten_color","285044","","prac_stop_color","","","","","49","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","prac_atten_color_black","287047","","black_plus_sign","","","","","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
